Rank 32 done. Timer: {'DynCore': 15.341558018233627, 'TracerAdvection': 3.2131993004586548, 'Remapping': 1.338995737140067, 'mainloop_orchestrated': 20.110890921903774, 'total': 230.6688993719872} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 28 done. Timer: {'DynCore': 15.381368324626237, 'TracerAdvection': 3.1695183902047575, 'Remapping': 1.3386120938230306, 'mainloop_orchestrated': 20.111047234153375, 'total': 230.66837152000517} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 27 done. Timer: {'DynCore': 15.139478458557278, 'TracerAdvection': 3.4406191625166684, 'Remapping': 1.310757449362427, 'mainloop_orchestrated': 20.11098705092445, 'total': 230.6682948579546} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 35 done. Timer: {'DynCore': 15.13689244305715, 'TracerAdvection': 3.4482976305298507, 'Remapping': 1.3116237600333989, 'mainloop_orchestrated': 20.110942082013935, 'total': 230.66901572304778} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 30 done. Timer: {'DynCore': 15.323420667788014, 'TracerAdvection': 3.2308679302223027, 'Remapping': 1.338325861375779, 'mainloop_orchestrated': 20.111092283856124, 'total': 230.66841896995902} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 33 done. Timer: {'DynCore': 15.149931567837484, 'TracerAdvection': 3.4326408988563344, 'Remapping': 1.310838066157885, 'mainloop_orchestrated': 20.111027812003158, 'total': 230.66906679200474} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 29 done. Timer: {'DynCore': 15.156587528530508, 'TracerAdvection': 3.4182919482700527, 'Remapping': 1.3109719576314092, 'mainloop_orchestrated': 20.111121583962813, 'total': 230.6686274309177} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 34 done. Timer: {'DynCore': 15.382537140278146, 'TracerAdvection': 3.1663214184809476, 'Remapping': 1.3446570901433006, 'mainloop_orchestrated': 20.111149442964233, 'total': 230.66928537399508} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 31 done. Timer: {'DynCore': 15.561223703436553, 'TracerAdvection': 2.9654914713464677, 'Remapping': 1.3670992595143616, 'mainloop_orchestrated': 20.111209315015003, 'total': 230.66857994091697} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 46 done. Timer: {'DynCore': 15.341647977242246, 'TracerAdvection': 3.201870470889844, 'Remapping': 1.345680168014951, 'mainloop_orchestrated': 20.11147067998536, 'total': 230.66936676204205} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 47 done. Timer: {'DynCore': 15.146008193027228, 'TracerAdvection': 3.42622885433957, 'Remapping': 1.310913374996744, 'mainloop_orchestrated': 20.111611420987174, 'total': 230.6695271829376} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 53 done. Timer: {'DynCore': 15.135418544290587, 'TracerAdvection': 3.4464682643301785, 'Remapping': 1.3056706602219492, 'mainloop_orchestrated': 20.11150672682561, 'total': 230.66682886891067} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 52 done. Timer: {'DynCore': 15.360877261729911, 'TracerAdvection': 3.1892291244585067, 'Remapping': 1.3460953950416297, 'mainloop_orchestrated': 20.11151658790186, 'total': 230.66677523916587} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 18 done. Timer: {'DynCore': 15.138677971553989, 'TracerAdvection': 3.4363714570645243, 'Remapping': 1.3165388791821897, 'mainloop_orchestrated': 20.111621203948744, 'total': 230.66899769403972} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 8 done. Timer: {'DynCore': 15.142033740179613, 'TracerAdvection': 3.440532165579498, 'Remapping': 1.3101327079348266, 'mainloop_orchestrated': 20.11161601706408, 'total': 230.66891837189905} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 48 done. Timer: {'DynCore': 15.304692535661161, 'TracerAdvection': 3.2532251183874905, 'Remapping': 1.339203920448199, 'mainloop_orchestrated': 20.11156417010352, 'total': 230.6689355468843} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 19 done. Timer: {'DynCore': 15.38342360930983, 'TracerAdvection': 3.155310478643514, 'Remapping': 1.352219414548017, 'mainloop_orchestrated': 20.11172126501333, 'total': 230.6691672669258} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 51 done. Timer: {'DynCore': 15.103863403666764, 'TracerAdvection': 3.482294665183872, 'Remapping': 1.3085023602470756, 'mainloop_orchestrated': 20.111767219146714, 'total': 230.66702060983516} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 10 done. Timer: {'DynCore': 15.39173489017412, 'TracerAdvection': 3.1489532571285963, 'Remapping': 1.3470563213340938, 'mainloop_orchestrated': 20.111798458965495, 'total': 230.66913511417806} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 45 done. Timer: {'DynCore': 15.143748523201793, 'TracerAdvection': 3.437376972171478, 'Remapping': 1.3078469410538673, 'mainloop_orchestrated': 20.111752010998316, 'total': 230.66970142303035} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 50 done. Timer: {'DynCore': 15.321139005711302, 'TracerAdvection': 3.228522442281246, 'Remapping': 1.338938683271408, 'mainloop_orchestrated': 20.111588589847088, 'total': 230.66897505684756} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 49 done. Timer: {'DynCore': 15.51061768294312, 'TracerAdvection': 3.003100238274783, 'Remapping': 1.3810919262468815, 'mainloop_orchestrated': 20.111738451058045, 'total': 230.669190348126} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 26 done. Timer: {'DynCore': 15.148420554585755, 'TracerAdvection': 3.4288389668799937, 'Remapping': 1.3104742539580911, 'mainloop_orchestrated': 20.111850373912603, 'total': 230.66913244104944} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 11 done. Timer: {'DynCore': 15.189721622737125, 'TracerAdvection': 3.3843777691945434, 'Remapping': 1.3066532316152006, 'mainloop_orchestrated': 20.1119088800624, 'total': 230.6692792759277} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 0 done. Timer: {'DynCore': 15.16027759690769, 'TracerAdvection': 3.428128020139411, 'Remapping': 1.3060869339387864, 'mainloop_orchestrated': 20.11189092998393, 'total': 230.66976829711348} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 17 done. Timer: {'DynCore': 15.169254204374738, 'TracerAdvection': 3.412778349244036, 'Remapping': 1.3033472148235887, 'mainloop_orchestrated': 20.11194341792725, 'total': 230.6693169180071} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 23 done. Timer: {'DynCore': 15.360695926705375, 'TracerAdvection': 3.1842500776983798, 'Remapping': 1.341180523391813, 'mainloop_orchestrated': 20.111883477075025, 'total': 230.66959067014977} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 9 done. Timer: {'DynCore': 15.14734335639514, 'TracerAdvection': 3.4355230960063636, 'Remapping': 1.3075003591366112, 'mainloop_orchestrated': 20.111984440125525, 'total': 230.66929566510953} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 1 done. Timer: {'DynCore': 15.400295472471043, 'TracerAdvection': 3.1434232846368104, 'Remapping': 1.3455743351951241, 'mainloop_orchestrated': 20.111997130094096, 'total': 230.66989346710034} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 37 done. Timer: {'DynCore': 15.421650968492031, 'TracerAdvection': 3.124848636914976, 'Remapping': 1.33883710578084, 'mainloop_orchestrated': 20.111854115966707, 'total': 230.6668191839708} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 12 done. Timer: {'DynCore': 15.349175497423857, 'TracerAdvection': 3.205035077407956, 'Remapping': 1.3387197118718177, 'mainloop_orchestrated': 20.111872612964362, 'total': 230.66976228612475} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 5 done. Timer: {'DynCore': 15.36727826204151, 'TracerAdvection': 3.183918407652527, 'Remapping': 1.3360701687633991, 'mainloop_orchestrated': 20.112006683833897, 'total': 230.66949117509648} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
Rank 41 done. Timer: {'DynCore': 15.367479042848572, 'TracerAdvection': 3.186077718390152, 'Remapping': 1.3403315590694547, 'mainloop_orchestrated': 20.111987736076117, 'total': 230.6694818600081} {'DynCore': 70, 'TracerAdvection': 70, 'Remapping': 70, 'mainloop_orchestrated': 1, 'total': 1}.
